[60.0, ' State-gov', 194252.0, ' Masters', 14.0, ' Married-civ-spouse', ' Exec-managerial', ' Wife', ' White', ' Female', 3103.0, 0.0, 40.0, ' United-States', ' >50K']
[46.0, ' Private', 101430.0, ' 11th', 7.0, ' Divorced', ' Handlers-cleaners', ' Unmarried', ' Black', ' Female', 0.0, 0.0, 40.0, ' United-States', ' <=50K']
[57.0, ' Self-emp-inc', 51016.0, ' HS-grad', 9.0, ' Married-civ-spouse', ' Exec-managerial', ' Husband', ' White', ' Male', 0.0, 0.0, 60.0, ' United-States', ' >50K']
[33.0, ' Private', 166961.0, ' 11th', 7.0, ' Separated', ' Sales', ' Own-child', ' White', ' Female', 0.0, 0.0, 20.0, ' United-States', ' <=50K']
[46.0, ' Self-emp-not-inc', 57452.0, ' Assoc-voc', 11.0, ' Married-civ-spouse', ' Craft-repair', ' Husband', ' White', ' Male', 0.0, 0.0, 40.0, ' United-States', ' >50K']
[54.0, ' ?', 172991.0, ' HS-grad', 9.0, ' Married-civ-spouse', ' ?', ' Husband', ' White', ' Male', 0.0, 0.0, 40.0, ' United-States', ' <=50K']
[37.0, ' Private', 224566.0, ' HS-grad', 9.0, ' Never-married', ' Craft-repair', ' Unmarried', ' White', ' Male', 0.0, 0.0, 40.0, ' United-States', ' <=50K']
[46.0, ' Private', 273771.0, ' Bachelors', 13.0, ' Married-civ-spouse', ' Sales', ' Husband', ' White', ' Male', 99999.0, 0.0, 40.0, ' United-States', ' >50K']
[17.0, ' Private', 57324.0, ' 10th', 6.0, ' Never-married', ' Other-service', ' Own-child', ' White', ' Male', 0.0, 0.0, 30.0, ' United-States', ' <=50K']
[19.0, ' Private', 256979.0, ' HS-grad', 9.0, ' Never-married', ' Craft-repair', ' Other-relative', ' White', ' Male', 0.0, 0.0, 35.0, ' United-States', ' <=50K']
[18.0, ' Private', 164441.0, ' Some-college', 10.0, ' Never-married', ' Adm-clerical', ' Own-child', ' White', ' Female', 0.0, 0.0, 38.0, ' United-States', ' <=50K']
[33.0, ' Private', 226629.0, ' Some-college', 10.0, ' Married-civ-spouse', ' Other-service', ' Wife', ' White', ' Female', 0.0, 0.0, 35.0, ' United-States', ' <=50K']
[27.0, ' Private', 31659.0, ' Bachelors', 13.0, ' Married-civ-spouse', ' Machine-op-inspct', ' Husband', ' White', ' Male', 0.0, 1887.0, 60.0, ' United-States', ' >50K']
[36.0, ' Private', 248010.0, ' HS-grad', 9.0, ' Married-civ-spouse', ' Adm-clerical', ' Husband', ' White', ' Male', 0.0, 0.0, 45.0, ' United-States', ' <=50K']
[45.0, ' Self-emp-not-inc', 247379.0, ' HS-grad', 9.0, ' Married-civ-spouse', ' Craft-repair', ' Husband', ' White', ' Male', 0.0, 0.0, 40.0, ' United-States', ' >50K']
[50.0, ' Private', 193374.0, ' 1st-4th', 2.0, ' Married-spouse-absent', ' Craft-repair', ' Unmarried', ' White', ' Male', 0.0, 0.0, 40.0, ' United-States', ' <=50K']
[27.0, ' Private', 156516.0, ' Some-college', 10.0, ' Married-civ-spouse', ' Adm-clerical', ' Wife', ' Black', ' Female', 0.0, 2377.0, 20.0, ' United-States', ' <=50K']
[76.0, ' ?', 191024.0, ' Bachelors', 13.0, ' Married-civ-spouse', ' ?', ' Husband', ' White', ' Male', 0.0, 0.0, 30.0, ' United-States', ' <=50K']
[61.0, ' Private', 716416.0, ' Some-college', 10.0, ' Married-civ-spouse', ' Sales', ' Husband', ' White', ' Male', 0.0, 0.0, 44.0, ' United-States', ' >50K']
[36.0, ' Private', 193026.0, ' Bachelors', 13.0, ' Married-civ-spouse', ' Sales', ' Husband', ' White', ' Male', 0.0, 0.0, 40.0, ' United-States', ' >50K']
[45.0, ' Private', 102076.0, ' Some-college', 10.0, ' Divorced', ' Prof-specialty', ' Unmarried', ' White', ' Female', 0.0, 0.0, 32.0, ' United-States', ' <=50K']
[54.0, ' Private', 147863.0, ' Assoc-voc', 11.0, ' Married-civ-spouse', ' Craft-repair', ' Husband', ' Asian-Pac-Islander', ' Male', 5013.0, 0.0, 40.0, ' Vietnam', ' <=50K']
[22.0, ' Private', 203182.0, ' Some-college', 10.0, ' Separated', ' Sales', ' Unmarried', ' White', ' Female', 0.0, 0.0, 43.0, ' United-States', ' <=50K']
[19.0, ' Private', 138153.0, ' Some-college', 10.0, ' Never-married', ' Adm-clerical', ' Own-child', ' White', ' Female', 0.0, 0.0, 10.0, ' United-States', ' <=50K']
[28.0, ' State-gov', 200775.0, ' Masters', 14.0, ' Married-civ-spouse', ' Exec-managerial', ' Wife', ' White', ' Female', 0.0, 0.0, 40.0, ' United-States', ' <=50K']
[22.0, ' Private', 166371.0, ' HS-grad', 9.0, ' Never-married', ' Other-service', ' Other-relative', ' White', ' Male', 0.0, 0.0, 40.0, ' ?', ' <=50K']
[32.0, ' Private', 252257.0, ' Assoc-acdm', 12.0, ' Never-married', ' Adm-clerical', ' Not-in-family', ' White', ' Female', 0.0, 0.0, 45.0, ' United-States', ' <=50K']
[31.0, ' Private', 45604.0, ' HS-grad', 9.0, ' Married-civ-spouse', ' Exec-managerial', ' Husband', ' White', ' Male', 0.0, 0.0, 54.0, ' United-States', ' <=50K']
[49.0, ' Private', 192323.0, ' HS-grad', 9.0, ' Married-civ-spouse', ' Machine-op-inspct', ' Husband', ' White', ' Male', 0.0, 0.0, 40.0, ' United-States', ' <=50K']
[46.0, ' Self-emp-not-inc', 157117.0, ' HS-grad', 9.0, ' Married-civ-spouse', ' Transport-moving', ' Husband', ' White', ' Male', 0.0, 0.0, 40.0, ' United-States', ' <=50K']
[50.0, ' Self-emp-not-inc', 386397.0, ' Bachelors', 13.0, ' Married-civ-spouse', ' Sales', ' Husband', ' White', ' Male', 0.0, 0.0, 60.0, ' United-States', ' <=50K']
[30.0, ' Private', 148524.0, ' HS-grad', 9.0, ' Married-civ-spouse', ' Transport-moving', ' Husband', ' White', ' Male', 0.0, 2057.0, 40.0, ' United-States', ' <=50K']
[52.0, ' Self-emp-not-inc', 183146.0, ' 12th', 8.0, ' Married-civ-spouse', ' Exec-managerial', ' Husband', ' White', ' Male', 0.0, 0.0, 50.0, ' United-States', ' >50K']
[45.0, ' Local-gov', 189890.0, ' HS-grad', 9.0, ' Never-married', ' Adm-clerical', ' Unmarried', ' White', ' Female', 0.0, 0.0, 40.0, ' United-States', ' <=50K']
[41.0, ' Private', 37869.0, ' HS-grad', 9.0, ' Married-civ-spouse', ' Sales', ' Husband', ' White', ' Male', 0.0, 1902.0, 40.0, ' United-States', ' >50K']
[31.0, ' Local-gov', 206609.0, ' HS-grad', 9.0, ' Married-civ-spouse', ' Protective-serv', ' Husband', ' White', ' Male', 0.0, 0.0, 40.0, ' United-States', ' >50K']
[54.0, ' Private', 174655.0, ' HS-grad', 9.0, ' Married-civ-spouse', ' Adm-clerical', ' Husband', ' White', ' Male', 0.0, 0.0, 40.0, ' United-States', ' <=50K']
[25.0, ' Private', 193787.0, ' Some-college', 10.0, ' Never-married', ' Tech-support', ' Own-child', ' White', ' Female', 0.0, 0.0, 40.0, ' United-States', ' <=50K']
[20.0, ' Private', 236592.0, ' 12th', 8.0, ' Never-married', ' Prof-specialty', ' Not-in-family', ' White', ' Female', 0.0, 0.0, 35.0, ' Italy', ' <=50K']
[29.0, ' Private', 150861.0, ' Some-college', 10.0, ' Never-married', ' Adm-clerical', ' Not-in-family', ' White', ' Female', 0.0, 0.0, 40.0, ' Japan', ' <=50K']
[46.0, ' Private', 216164.0, ' HS-grad', 9.0, ' Married-civ-spouse', ' Handlers-cleaners', ' Husband', ' White', ' Male', 0.0, 0.0, 40.0, ' United-States', ' <=50K']
[37.0, ' Private', 121772.0, ' HS-grad', 9.0, ' Never-married', ' Craft-repair', ' Not-in-family', ' Asian-Pac-Islander', ' Male', 0.0, 0.0, 40.0, ' Hong', ' <=50K']
[29.0, ' ?', 427965.0, ' HS-grad', 9.0, ' Separated', ' ?', ' Unmarried', ' Black', ' Female', 0.0, 0.0, 20.0, ' United-States', ' <=50K']
[39.0, ' Private', 108540.0, ' HS-grad', 9.0, ' Married-civ-spouse', ' Sales', ' Husband', ' White', ' Male', 0.0, 0.0, 40.0, ' United-States', ' <=50K']
[46.0, ' Private', 216666.0, ' 9th', 5.0, ' Married-civ-spouse', ' Machine-op-inspct', ' Husband', ' White', ' Male', 0.0, 0.0, 40.0, ' Guatemala', ' <=50K']
[27.0, ' Private', 68848.0, ' Bachelors', 13.0, ' Never-married', ' Adm-clerical', ' Unmarried', ' White', ' Female', 0.0, 0.0, 35.0, ' United-States', ' <=50K']
[27.0, ' Private', 56870.0, ' HS-grad', 9.0, ' Married-civ-spouse', ' Machine-op-inspct', ' Husband', ' White', ' Male', 0.0, 0.0, 40.0, ' United-States', ' <=50K']
[39.0, ' Private', 198097.0, ' Bachelors', 13.0, ' Divorced', ' Exec-managerial', ' Not-in-family', ' White', ' Male', 0.0, 0.0, 50.0, ' United-States', ' <=50K']
[24.0, ' Private', 241951.0, ' HS-grad', 9.0, ' Never-married', ' Handlers-cleaners', ' Unmarried', ' Black', ' Female', 0.0, 0.0, 40.0, ' United-States', ' <=50K']
[24.0, ' Private', 103064.0, ' Bachelors', 13.0, ' Never-married', ' Tech-support', ' Not-in-family', ' White', ' Female', 3674.0, 0.0, 40.0, ' United-States', ' <=50K']
[40.0, ' Private', 260761.0, ' Bachelors', 13.0, ' Married-civ-spouse', ' Adm-clerical', ' Husband', ' White', ' Male', 0.0, 0.0, 40.0, ' Mexico', ' <=50K']
[39.0, ' Private', 346478.0, ' Some-college', 10.0, ' Never-married', ' Exec-managerial', ' Not-in-family', ' White', ' Male', 0.0, 0.0, 45.0, ' United-States', ' <=50K']
[47.0, ' Private', 207140.0, ' HS-grad', 9.0, ' Divorced', ' Adm-clerical', ' Not-in-family', ' White', ' Female', 0.0, 0.0, 38.0, ' United-States', ' <=50K']
[52.0, ' Private', 128378.0, ' Bachelors', 13.0, ' Married-civ-spouse', ' Prof-specialty', ' Husband', ' White', ' Male', 0.0, 0.0, 40.0, ' United-States', ' >50K']
[72.0, ' Private', 183616.0, ' HS-grad', 9.0, ' Married-civ-spouse', ' Exec-managerial', ' Wife', ' White', ' Female', 0.0, 0.0, 50.0, ' England', ' <=50K']
[63.0, ' Federal-gov', 95680.0, ' Some-college', 10.0, ' Married-civ-spouse', ' Tech-support', ' Husband', ' White', ' Male', 0.0, 0.0, 18.0, ' United-States', ' >50K']
[29.0, ' Local-gov', 30069.0, ' HS-grad', 9.0, ' Married-civ-spouse', ' Other-service', ' Wife', ' White', ' Female', 2635.0, 0.0, 40.0, ' United-States', ' <=50K']
[29.0, ' State-gov', 245310.0, ' Some-college', 10.0, ' Never-married', ' Prof-specialty', ' Not-in-family', ' White', ' Male', 0.0, 0.0, 35.0, ' United-States', ' <=50K']
[34.0, ' Private', 137900.0, ' HS-grad', 9.0, ' Never-married', ' Sales', ' Not-in-family', ' White', ' Female', 0.0, 0.0, 35.0, ' United-States', ' <=50K']
[22.0, ' Self-emp-not-inc', 32921.0, ' Some-college', 10.0, ' Never-married', ' Farming-fishing', ' Own-child', ' White', ' Male', 0.0, 0.0, 20.0, ' United-States', ' <=50K']
[37.0, ' Self-emp-not-inc', 353298.0, ' HS-grad', 9.0, ' Married-civ-spouse', ' Sales', ' Husband', ' White', ' Male', 99999.0, 0.0, 50.0, ' United-States', ' >50K']
[42.0, ' Private', 118686.0, ' Some-college', 10.0, ' Divorced', ' Prof-specialty', ' Unmarried', ' White', ' Female', 0.0, 0.0, 20.0, ' United-States', ' <=50K']
[47.0, ' Private', 185254.0, ' 5th-6th', 3.0, ' Never-married', ' Priv-house-serv', ' Own-child', ' White', ' Female', 0.0, 0.0, 40.0, ' El-Salvador', ' <=50K']
[38.0, ' Self-emp-not-inc', 152621.0, ' Bachelors', 13.0, ' Married-civ-spouse', ' Farming-fishing', ' Husband', ' White', ' Male', 0.0, 0.0, 99.0, ' United-States', ' <=50K']
[19.0, ' Private', 333953.0, ' 12th', 8.0, ' Never-married', ' Other-service', ' Other-relative', ' White', ' Female', 0.0, 0.0, 30.0, ' United-States', ' <=50K']
[27.0, ' Private', 215014.0, ' HS-grad', 9.0, ' Married-civ-spouse', ' Sales', ' Husband', ' White', ' Male', 0.0, 0.0, 35.0, ' Mexico', ' <=50K']
[39.0, ' Private', 204501.0, ' Masters', 14.0, ' Married-civ-spouse', ' Exec-managerial', ' Husband', ' White', ' Male', 0.0, 0.0, 50.0, ' United-States', ' >50K']
[54.0, ' Private', 155408.0, ' HS-grad', 9.0, ' Widowed', ' Handlers-cleaners', ' Unmarried', ' White', ' Female', 0.0, 0.0, 40.0, ' United-States', ' <=50K']
[42.0, ' Local-gov', 70655.0, ' HS-grad', 9.0, ' Divorced', ' Farming-fishing', ' Not-in-family', ' White', ' Male', 0.0, 0.0, 40.0, ' United-States', ' <=50K']
[42.0, ' Private', 212737.0, ' 9th', 5.0, ' Separated', ' Craft-repair', ' Unmarried', ' Black', ' Male', 0.0, 0.0, 40.0, ' United-States', ' <=50K']
[59.0, ' Private', 196482.0, ' HS-grad', 9.0, ' Widowed', ' Adm-clerical', ' Unmarried', ' White', ' Female', 0.0, 0.0, 40.0, ' United-States', ' <=50K']
[22.0, ' ?', 186452.0, ' Some-college', 10.0, ' Never-married', ' ?', ' Own-child', ' White', ' Male', 0.0, 0.0, 36.0, ' United-States', ' <=50K']
[21.0, ' Private', 145389.0, ' Some-college', 10.0, ' Never-married', ' Prof-specialty', ' Not-in-family', ' White', ' Female', 0.0, 0.0, 25.0, ' United-States', ' <=50K']
[21.0, ' Private', 225890.0, ' Some-college', 10.0, ' Never-married', ' Other-service', ' Other-relative', ' White', ' Female', 0.0, 0.0, 30.0, ' United-States', ' <=50K']
[22.0, ' Private', 234474.0, ' Some-college', 10.0, ' Never-married', ' Adm-clerical', ' Own-child', ' Black', ' Female', 0.0, 0.0, 25.0, ' United-States', ' <=50K']
[27.0, ' Private', 98769.0, ' Bachelors', 13.0, ' Never-married', ' Sales', ' Not-in-family', ' White', ' Male', 0.0, 0.0, 45.0, ' United-States', ' <=50K']
[48.0, ' Self-emp-not-inc', 51620.0, ' Bachelors', 13.0, ' Separated', ' Craft-repair', ' Not-in-family', ' White', ' Male', 0.0, 0.0, 50.0, ' United-States', ' <=50K']
[22.0, ' Private', 138542.0, ' Some-college', 10.0, ' Married-civ-spouse', ' Handlers-cleaners', ' Husband', ' White', ' Male', 0.0, 0.0, 35.0, ' United-States', ' <=50K']
[66.0, ' Private', 234743.0, ' Some-college', 10.0, ' Married-civ-spouse', ' Exec-managerial', ' Husband', ' White', ' Male', 0.0, 0.0, 24.0, ' United-States', ' <=50K']
[32.0, ' Private', 44675.0, ' Doctorate', 16.0, ' Married-civ-spouse', ' Prof-specialty', ' Husband', ' White', ' Male', 0.0, 0.0, 65.0, ' United-States', ' >50K']
[37.0, ' Private', 236990.0, ' Some-college', 10.0, ' Married-civ-spouse', ' Machine-op-inspct', ' Husband', ' White', ' Male', 3464.0, 0.0, 40.0, ' United-States', ' <=50K']
[19.0, ' Private', 272800.0, ' 12th', 8.0, ' Never-married', ' Adm-clerical', ' Own-child', ' White', ' Female', 0.0, 0.0, 25.0, ' United-States', ' <=50K']
[34.0, ' Private', 206609.0, ' Some-college', 10.0, ' Never-married', ' Sales', ' Unmarried', ' White', ' Male', 0.0, 0.0, 35.0, ' United-States', ' <=50K']
[43.0, ' ?', 152569.0, ' Assoc-voc', 11.0, ' Widowed', ' ?', ' Not-in-family', ' White', ' Female', 0.0, 2339.0, 36.0, ' United-States', ' <=50K']
[45.0, ' Federal-gov', 368947.0, ' Bachelors', 13.0, ' Never-married', ' Protective-serv', ' Not-in-family', ' Black', ' Female', 0.0, 0.0, 40.0, ' United-States', ' <=50K']
[63.0, ' Local-gov', 152163.0, ' HS-grad', 9.0, ' Married-civ-spouse', ' Protective-serv', ' Husband', ' White', ' Male', 0.0, 0.0, 40.0, ' United-States', ' <=50K']
[48.0, ' Self-emp-not-inc', 397466.0, ' Some-college', 10.0, ' Married-civ-spouse', ' Exec-managerial', ' Husband', ' White', ' Male', 0.0, 0.0, 60.0, ' United-States', ' <=50K']
[53.0, ' Private', 479621.0, ' Assoc-voc', 11.0, ' Divorced', ' Tech-support', ' Not-in-family', ' Black', ' Male', 0.0, 0.0, 40.0, ' United-States', ' <=50K']
[51.0, ' Private', 673764.0, ' Assoc-voc', 11.0, ' Married-civ-spouse', ' Exec-managerial', ' Husband', ' White', ' Male', 0.0, 0.0, 50.0, ' United-States', ' >50K']
[45.0, ' Private', 162606.0, ' HS-grad', 9.0, ' Divorced', ' Sales', ' Not-in-family', ' White', ' Female', 0.0, 0.0, 35.0, ' United-States', ' <=50K']
[33.0, ' Private', 141490.0, ' HS-grad', 9.0, ' Married-civ-spouse', ' Sales', ' Wife', ' White', ' Female', 0.0, 0.0, 45.0, ' United-States', ' <=50K']
[50.0, ' Self-emp-not-inc', 146603.0, ' Prof-school', 15.0, ' Married-civ-spouse', ' Prof-specialty', ' Husband', ' White', ' Male', 0.0, 0.0, 40.0, ' United-States', ' >50K']
[20.0, ' Private', 195770.0, ' Some-college', 10.0, ' Never-married', ' Adm-clerical', ' Own-child', ' White', ' Male', 0.0, 0.0, 26.0, ' United-States', ' <=50K']
[29.0, ' Private', 286634.0, ' Bachelors', 13.0, ' Married-civ-spouse', ' Prof-specialty', ' Wife', ' White', ' Female', 0.0, 0.0, 50.0, ' United-States', ' >50K']
[31.0, ' Private', 176185.0, ' Masters', 14.0, ' Married-civ-spouse', ' Exec-managerial', ' Husband', ' White', ' Male', 0.0, 0.0, 60.0, ' France', ' >50K']
[35.0, ' Private', 62669.0, ' Some-college', 10.0, ' Married-civ-spouse', ' Exec-managerial', ' Husband', ' White', ' Male', 0.0, 0.0, 55.0, ' United-States', ' >50K']
[76.0, ' Private', 93125.0, ' HS-grad', 9.0, ' Married-civ-spouse', ' Sales', ' Husband', ' White', ' Male', 1424.0, 0.0, 24.0, ' United-States', ' <=50K']
[58.0, ' Federal-gov', 175873.0, ' Some-college', 10.0, ' Married-civ-spouse', ' Adm-clerical', ' Husband', ' White', ' Male', 0.0, 0.0, 40.0, ' United-States', ' >50K']
[60.0, ' Private', 151369.0, ' Masters', 14.0, ' Married-civ-spouse', ' Exec-managerial', ' Husband', ' White', ' Male', 0.0, 0.0, 60.0, ' United-States', ' >50K']
[34.0, ' Private', 127610.0, ' Bachelors', 13.0, ' Never-married', ' Prof-specialty', ' Own-child', ' White', ' Female', 0.0, 0.0, 15.0, ' United-States', ' <=50K']
[37.0, ' Federal-gov', 160910.0, ' HS-grad', 9.0, ' Married-civ-spouse', ' Craft-repair', ' Husband', ' White', ' Male', 0.0, 0.0, 40.0, ' United-States', ' <=50K']
[53.0, ' Self-emp-inc', 290640.0, ' Some-college', 10.0, ' Married-civ-spouse', ' Sales', ' Husband', ' White', ' Male', 0.0, 0.0, 50.0, ' United-States', ' >50K']
[57.0, ' Private', 220871.0, ' 7th-8th', 4.0, ' Widowed', ' Machine-op-inspct', ' Unmarried', ' Black', ' Female', 0.0, 0.0, 40.0, ' United-States', ' <=50K']
[24.0, ' Private', 173679.0, ' Assoc-voc', 11.0, ' Married-civ-spouse', ' Other-service', ' Husband', ' White', ' Male', 0.0, 0.0, 20.0, ' United-States', ' <=50K']
[29.0, ' Private', 186624.0, ' HS-grad', 9.0, ' Married-civ-spouse', ' Other-service', ' Wife', ' White', ' Female', 0.0, 0.0, 40.0, ' Cuba', ' <=50K']
[57.0, ' Self-emp-not-inc', 253914.0, ' 1st-4th', 2.0, ' Married-civ-spouse', ' Sales', ' Husband', ' White', ' Male', 0.0, 0.0, 35.0, ' Mexico', ' <=50K']
[29.0, ' Private', 116613.0, ' Bachelors', 13.0, ' Never-married', ' Adm-clerical', ' Own-child', ' White', ' Female', 0.0, 0.0, 40.0, ' Portugal', ' <=50K']
[61.0, ' Self-emp-not-inc', 224784.0, ' Assoc-acdm', 12.0, ' Married-spouse-absent', ' Exec-managerial', ' Not-in-family', ' White', ' Female', 0.0, 0.0, 90.0, ' United-States', ' <=50K']
[41.0, ' ?', 217921.0, ' 9th', 5.0, ' Married-civ-spouse', ' ?', ' Wife', ' Asian-Pac-Islander', ' Female', 0.0, 0.0, 40.0, ' Hong', ' <=50K']
[24.0, ' Private', 254767.0, ' 7th-8th', 4.0, ' Married-civ-spouse', ' Farming-fishing', ' Husband', ' White', ' Male', 2105.0, 0.0, 50.0, ' United-States', ' <=50K']
[37.0, ' Self-emp-not-inc', 301568.0, ' HS-grad', 9.0, ' Married-civ-spouse', ' Prof-specialty', ' Wife', ' White', ' Female', 0.0, 0.0, 35.0, ' United-States', ' >50K']
[25.0, ' Private', 254781.0, ' Bachelors', 13.0, ' Never-married', ' Exec-managerial', ' Not-in-family', ' White', ' Female', 0.0, 0.0, 40.0, ' United-States', ' <=50K']
[30.0, ' Private', 119411.0, ' Bachelors', 13.0, ' Never-married', ' Prof-specialty', ' Not-in-family', ' White', ' Male', 0.0, 0.0, 40.0, ' United-States', ' <=50K']
[18.0, ' Private', 205218.0, ' Some-college', 10.0, ' Never-married', ' Other-service', ' Own-child', ' White', ' Female', 0.0, 0.0, 20.0, ' United-States', ' <=50K']
[62.0, ' ?', 125493.0, ' HS-grad', 9.0, ' Married-civ-spouse', ' ?', ' Wife', ' White', ' Female', 5178.0, 0.0, 40.0, ' Scotland', ' >50K']
[63.0, ' Private', 108097.0, ' Some-college', 10.0, ' Married-civ-spouse', ' Craft-repair', ' Husband', ' White', ' Male', 10566.0, 0.0, 45.0, ' United-States', ' <=50K']
[49.0, ' Private', 122493.0, ' HS-grad', 9.0, ' Widowed', ' Tech-support', ' Unmarried', ' White', ' Male', 0.0, 0.0, 40.0, ' United-States', ' <=50K']
[26.0, ' Private', 176756.0, ' Some-college', 10.0, ' Married-civ-spouse', ' Sales', ' Husband', ' White', ' Male', 0.0, 0.0, 40.0, ' United-States', ' <=50K']
[57.0, ' Private', 134195.0, ' HS-grad', 9.0, ' Married-civ-spouse', ' Sales', ' Husband', ' White', ' Male', 0.0, 0.0, 40.0, ' United-States', ' <=50K']
[26.0, ' Private', 306513.0, ' Some-college', 10.0, ' Never-married', ' Handlers-cleaners', ' Own-child', ' White', ' Male', 0.0, 0.0, 40.0, ' United-States', ' <=50K']
[64.0, ' Private', 148606.0, ' 10th', 6.0, ' Separated', ' Other-service', ' Not-in-family', ' White', ' Female', 0.0, 0.0, 35.0, ' United-States', ' <=50K']
[42.0, ' Local-gov', 111252.0, ' Masters', 14.0, ' Married-civ-spouse', ' Exec-managerial', ' Husband', ' White', ' Male', 0.0, 1977.0, 40.0, ' United-States', ' >50K']
[66.0, ' Private', 22313.0, ' 11th', 7.0, ' Married-civ-spouse', ' Craft-repair', ' Husband', ' White', ' Male', 0.0, 0.0, 20.0, ' United-States', ' <=50K']
[35.0, ' Private', 44780.0, ' Some-college', 10.0, ' Married-civ-spouse', ' Adm-clerical', ' Wife', ' White', ' Female', 7688.0, 0.0, 20.0, ' United-States', ' >50K']
[41.0, ' Local-gov', 107327.0, ' Assoc-voc', 11.0, ' Divorced', ' Prof-specialty', ' Unmarried', ' White', ' Female', 0.0, 0.0, 40.0, ' United-States', ' <=50K']
[22.0, ' Local-gov', 273734.0, ' HS-grad', 9.0, ' Never-married', ' Farming-fishing', ' Own-child', ' White', ' Male', 0.0, 0.0, 20.0, ' United-States', ' <=50K']
[38.0, ' Private', 292570.0, ' Some-college', 10.0, ' Never-married', ' Sales', ' Own-child', ' White', ' Female', 0.0, 0.0, 50.0, ' United-States', ' <=50K']
[29.0, ' Private', 184078.0, ' HS-grad', 9.0, ' Never-married', ' Other-service', ' Other-relative', ' White', ' Female', 0.0, 0.0, 40.0, ' United-States', ' <=50K']
[62.0, ' Self-emp-inc', 197060.0, ' Assoc-voc', 11.0, ' Married-civ-spouse', ' Exec-managerial', ' Husband', ' White', ' Male', 0.0, 0.0, 50.0, ' United-States', ' <=50K']
[40.0, ' Private', 197919.0, ' Assoc-acdm', 12.0, ' Divorced', ' Sales', ' Unmarried', ' White', ' Female', 0.0, 0.0, 40.0, ' United-States', ' <=50K']
[33.0, ' Local-gov', 242150.0, ' Assoc-voc', 11.0, ' Married-civ-spouse', ' Tech-support', ' Husband', ' White', ' Male', 0.0, 0.0, 50.0, ' United-States', ' <=50K']
